ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Baden-Württemberg,BW,4721,2560,1720,1877,326,192
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Bayern,BY,5219,1830,1457,1830,91,2423
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Berlin,BE,3839,2213,3340,517,105,3322
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Brandenburg,BB,107,75,60,47,NA,60
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Bremen,HB,592,174,276,133,NA,278
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Hamburg,HH,1071,626,507,471,NA,600
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Hessen,HE,4354,1242,1480,2425,287,1702
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Mecklenburg-Vorpommern,MV,4170,3488,100,1862,2,2209
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Niedersachsen,NI,835,501,79,370,141,552
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Nordrhein-Westfalen,NW,7136,518,NA,1788,NA,5348
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Rheinland-Pfalz,RP,1462,210,NA,715,NA,747
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Saarland,SL,862,647,658,51,NA,466
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Sachsen,SN,857,675,240,551,1,305
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Sachsen-Anhalt,ST,3985,2481,1592,1678,124,2292
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Schleswig-Holstein,SH,2495,1686,588,528,584,1136
2020-12-29T07:00:00Z,2020-12-31T02:04:15Z,Thüringen,TH,257,158,135,121,NA,135
