ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Baden-Württemberg,BW,2084,NA,624,964,151,NA
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Bayern,BY,3389,NA,994,1051,68,1620
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Berlin,BE,1626,NA,1416,228,105,1398
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Brandenburg,BB,100,NA,80,20,NA,12
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Bremen,HB,420,NA,205,87,NA,NA
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Hamburg,HH,445,NA,197,222,0,223
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Hessen,HE,3112,NA,1086,1694,154,1347
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Mecklenburg-Vorpommern,MV,590,NA,NA,240,NA,350
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Niedersachsen,NI,334,NA,42,116,140,306
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Nordrhein-Westfalen,NW,5405,NA,NA,1370,NA,3985
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Rheinland-Pfalz,RP,1252,NA,NA,620,NA,632
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Saarland,SL,215,NA,168,4,NA,211
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Sachsen,SN,182,NA,90,69,0,113
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Sachsen-Anhalt,ST,1504,1357,669,644,0,847
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Schleswig-Holstein,SH,809,NA,213,239,344,553
2020-12-28T15:15:00Z,2020-12-31T02:03:58Z,Thüringen,TH,99,NA,49,50,NA,49
