RS,Bundesland,Impfungen kumulativ,Differenz zum Vortag,Impfungen pro 1.000 Einwohner,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
08,Baden-Württemberg,49103,6180,4.423536678067463,25827,14560,2433,8088
09,Bayern,88916,4567,6.774688132798395,20212,44516,1609,30110
11,Berlin,26406,2247,7.196093409140396,16673,9109,105,16773
12,Brandenburg,11481,3299,4.552532561849373,1029,10391,53,558
04,Bremen,4505,621,6.61331000202583,1033,1764,34,1491
02,Hamburg,8471,1392,4.585728105462544,2788,4313,108,2352
06,Hessen,46006,1884,7.316382743222096,12286,27009,2101,17520
13,Mecklenburg-Vorpommern,24060,1792,14.961402566197677,1260,12515,137,11130
03,Niedersachsen,32170,7975,4.02446554797283,7075,15989,6226,18332
05,Nordrhein-Westfalen,90802,5986,5.059390531826627,0,39465,0,51345
07,Rheinland-Pfalz,20792,4991,5.07877201780306,2154,11833,0,6805
10,Saarland,7358,837,7.455767478951491,5596,966,0,2663
14,Sachsen,15593,2587,3.8293494722825874,985,13343,1,2249
15,Sachsen-Anhalt,19399,1775,8.838691040841415,6008,9554,783,9500
01,Schleswig-Holstein,23903,3831,8.231704062266575,5606,10747,3655,9099
16,Thüringen,7994,974,3.7471090449043727,782,6399,22,731
NA,Gesamt,476959,50938,5.734974898790936,109314,232473,17267,188746
NA,NA,NA,NA,NA,NA,NA,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA,NA,NA,NA,NA,NA,NA
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.,NA,NA,NA,NA,NA,NA,NA,NA
"RS: Regionalschlüssel eines jeden Bundeslandes (destatis, https://www.destatis.de/DE/Themen/Laender-Regionen/Regionales/Gemeindeverzeichnis/Administrativ/beschreibung-gebietseinheiten.pdf?__blob=publicationFile).",NA,NA,NA,NA,NA,NA,NA,NA
