RS,Bundesland,Impfungen kumulativ,Differenz zum Vortag,Impfungen pro 1.000 Einwohner,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
08,Baden-Württemberg,82300,5538,7.414151245442279,44631,24154,3032,13719
09,Bayern,167915,17404,12.793780172509361,40128,84910,2880,53456
11,Berlin,38408,2515,10.466846764306004,26527,11540,105,22520
12,Brandenburg,27102,7512,10.746689094263713,5612,21079,212,2545
04,Bremen,8890,1137,13.050460803109797,1181,4066,88,3420
02,Hamburg,18150,2129,9.825400202354524,6274,8161,1729,4195
06,Hessen,62171,1827,9.887119756746097,16135,35893,3338,24013
13,Mecklenburg-Vorpommern,32998,2284,20.519383286757726,2516,16644,552,14696
03,Niedersachsen,70444,6679,8.812541220435127,14524,36884,11194,36307
05,Nordrhein-Westfalen,142066,9594,7.915765900470051,NA,66156,NA,75918
07,Rheinland-Pfalz,54189,8109,13.23651293154723,14321,25773,10,14084
10,Saarland,12243,1046,12.405675624463592,9064,2024,NA,4124
14,Sachsen,34588,5167,8.494166584192273,2528,27920,1,6667
15,Sachsen-Anhalt,29448,2128,13.417277889102426,9342,14226,1274,13632
01,Schleswig-Holstein,47498,4303,16.35733922727431,14059,18157,5452,18099
16,Thüringen,14045,744,6.583455908891907,1150,10998,82,1491
NA,Gesamt,842455,78116,10.12971403907027,207992,408585,29949,308886
NA,NA,NA,NA,NA,NA,NA,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA,NA,NA,NA,NA,NA,NA
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.,NA,NA,NA,NA,NA,NA,NA,NA
"RS: Regionalschlüssel eines jeden Bundeslandes (destatis, https://www.destatis.de/DE/Themen/Laender-Regionen/Regionales/Gemeindeverzeichnis/Administrativ/beschreibung-gebietseinheiten.pdf?__blob=publicationFile).",NA,NA,NA,NA,NA,NA,NA,NA
