Bundesland,Impfungen kumulativ,Differenz zum Vortag,Impfungen pro 1.000 Einwohner,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
Baden-Württemberg,37840,5621,3.4088880088400466,18907,11336,2023,6476
Bayern,82749,4873,6.304812050710044,18957,40959,1573,28182
Berlin,21955,2566,5.983118639615141,13487,7648,105,14247
Brandenburg,5404,2070,2.1428347673751422,287,5097,20,224
Bremen,3195,518,4.690238725077142,982,1062,29,892
Hamburg,5901,1145,3.1944730905836938,1996,3495,44,2122
Hessen,41298,3503,6.567664533530108,11393,23963,1657,15925
Mecklenburg-Vorpommern,18014,2570,11.201774972048419,456,10024,27,7828
Niedersachsen,15164,6499,1.89701571555673,3341,7376,3112,8940
Nordrhein-Westfalen,69225,4160,3.8571431198178256,NA,28846,NA,40387
Rheinland-Pfalz,12336,2445,3.0132614280309036,NA,7191,NA,5145
Saarland,5633,797,5.707846997680585,4279,672,NA,2156
Sachsen,10767,3027,2.6441740375852385,820,8945,1,1821
Sachsen-Anhalt,17123,1495,7.801685998882805,5402,8196,738,8588
Schleswig-Holstein,17016,3444,5.859962194014477,4092,8459,2932,6665
Thüringen,3711,500,1.739494829327011,468,2856,7,500
Gesamt,367331,45233,4.416803256774216,84867,176125,12268,150098
NA,NA,NA,NA,NA,NA,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA,NA,NA,NA,NA,NA
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.,NA,NA,NA,NA,NA,NA,NA
