Bundesland,Impfungen kumulativ,Differenz zum Vortag,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*,...8
Baden-Württemberg,20045,2958,9087,6185,1189,3403,NA
Bayern,39005,1050,7840,19500,718,14265,(Nachmeldungen für den 01.01. bereits für morgen angekündigt)
Berlin,13137,2023,8662,3319,105,9817,NA
Brandenburg,3219,NA,204,2995,20,224,(für den 01.01. wurde nicht gemeldet)
Bremen,1741,NA,821,408,6,237,NA
Hamburg,3042,283,1129,1703,NA,1341,NA
Hessen,24791,3418,6909,14480,955,9680,NA
Mecklenburg-Vorpommern,11494,NA,178,6583,8,4804,NA
Niedersachsen,3945,379,773,2105,827,2362,NA
Nordrhein-Westfalen,33375,7908,NA,11846,0,21537,NA
Rheinland-Pfalz,6898,439,NA,3166,NA,3732,NA
Saarland,3316,600,2508,335,NA,1294,NA
Sachsen,4000,710,297,3320,1,679,NA
Sachsen-Anhalt,11771,625,3782,5760,495,5793,NA
Schleswig-Holstein,7964,694,2130,4690,1798,3384,NA
Thüringen,810,NA,232,297,NA,413,NA
Gesamt,188553,21087,44552,86692,6122,82965,NA
NA,NA,NA,NA,NA,NA,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA,NA,NA,NA,NA,NA
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.,NA,NA,NA,NA,NA,NA,NA
