RS,Bundesland,Impfungen kumulativ,Differenz zum Vortag,Impfungen pro 1.000 Einwohner,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
08,Baden-Württemberg,100163,6708,9.023373404583658,52522,29956,3348,19421
09,Bayern,198607,15034,15.132265126531678,47873,102769,3487,60466
11,Berlin,48544,2546,13.22908272564233,30563,17738,105,24288
12,Brandenburg,37993,4195,15.065270413931122,9067,28119,343,4502
04,Bremen,11033,899,16.196370533263263,1246,5427,89,4135
02,Hamburg,21951,1706,11.883050129029428,7822,9606,2270,5348
06,Hessen,69925,4252,11.120246561748578,18056,39725,3952,27404
13,Mecklenburg-Vorpommern,37570,1140,23.36242287664367,3454,18238,706,15991
03,Niedersachsen,86035,7261,10.762974616718758,16901,45644,13058,38497
05,Nordrhein-Westfalen,193857,15395,10.80150514667424,0,94237,0,99628
07,Rheinland-Pfalz,73749,9270,18.01434963163514,22896,33721,20,17121
10,Saarland,14421,1120,14.612615223424768,10634,2421,0,4899
14,Sachsen,43451,4119,10.670753794661112,3555,34444,1,9006
15,Sachsen-Anhalt,33182,1459,15.118585809433466,10605,16378,1352,14678
01,Schleswig-Holstein,55670,2563,19.171608799999174,15838,21709,5456,18262
16,Thüringen,22009,2092,10.316502748223709,4383,14578,413,2582
NA,Gesamt,1048160,79759,12.603119534208826,255415,514710,34600,366228
NA,NA,NA,NA,NA,NA,NA,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA,NA,NA,NA,NA,NA,NA
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.,NA,NA,NA,NA,NA,NA,NA,NA
"RS: Regionalschlüssel eines jeden Bundeslandes (destatis, https://www.destatis.de/DE/Themen/Laender-Regionen/Regionales/Gemeindeverzeichnis/Administrativ/beschreibung-gebietseinheiten.pdf?__blob=publicationFile).",NA,NA,NA,NA,NA,NA,NA,NA
