Bundesland,Impfungen kumulativ,Differenz zum Vortag,Impfungen pro 1.000 Einwohner,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
Baden-Württemberg,32182,4758,2.8991763715774415,15546,9828,1716,5642
Bayern,77876,11618,5.933528420417111,18188,38306,1554,26500
Berlin,19389,1631,5.28383909375987,11608,6783,105,12575
Brandenburg,3334,25,1.3220227820926582,227,3087,20,224
Bremen,2653,700,3.894586334156388,942,811,18,651
Hamburg,4756,616,2.5746337940715214,1704,2698,0,2060
Hessen,37795,4390,6.010578745817483,10329,22051,1492,14561
Mecklenburg-Vorpommern,13832,1773,8.601251882612065,242,7738,29,5968
Niedersachsen,8665,3271,1.083991108896008,1791,4198,1915,5251
Nordrhein-Westfalen,62692,4435,3.4931313321432884,0,25744,0,36956
Rheinland-Pfalz,9891,1609,2.4160318405199144,0,5435,0,4456
Saarland,4836,687,4.9002570709716515,3655,584,0,1823
Sachsen,7740,2874,1.9007993917441948,662,6354,1,1385
Sachsen-Anhalt,15628,2262,7.120524954186794,4967,7523,649,7804
Schleswig-Holstein,12978,3421,4.469357625406669,3427,6611,2716,5616
Thüringen,2715,493,1.2726296043176597,446,1976,1,413
Gesamt,316962,44563,3.8111643010627176,73734,149727,10216,131885
NA,NA,NA,NA,NA,NA,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA,NA,NA,NA,NA,NA
* In einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen.,NA,NA,NA,NA,NA,NA,NA
